"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"261",0.909090909090909,0.0769230769230769,0.769230769230769,4,"pc","undirected",7,2
"361",0.636363636363636,0.0674157303370786,0.538461538461538,7,"pc","directed",7,2
"461",0.818181818181818,0.0256410256410256,0.9,3,"ges","undirected",7,2
"561",0.727272727272727,0.0561797752808989,0.615384615384615,7,"ges","directed",7,2
"661",0,0,NA,11,"arges","undirected",7,2
"761",0,0,NA,11,"arges","directed",7,2
"271",0.909090909090909,0,1,1,"pc","undirected",8,2
"371",0.727272727272727,0.0561797752808989,0.615384615384615,6,"pc","directed",8,2
"471",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",8,2
"571",0.636363636363636,0.0786516853932584,0.5,8,"ges","directed",8,2
"671",0,0,NA,11,"arges","undirected",8,2
"771",0,0,NA,11,"arges","directed",8,2
"281",1,0.102564102564103,0.733333333333333,4,"pc","undirected",9,2
"381",0.909090909090909,0.0561797752808989,0.666666666666667,5,"pc","directed",9,2
"481",0.909090909090909,0.102564102564103,0.714285714285714,5,"ges","undirected",9,2
"581",0.636363636363636,0.101123595505618,0.4375,10,"ges","directed",9,2
"681",0,0,NA,11,"arges","undirected",9,2
"781",0,0,NA,11,"arges","directed",9,2
"291",0.909090909090909,0.102564102564103,0.714285714285714,5,"pc","undirected",10,2
"391",0.818181818181818,0.0786516853932584,0.5625,7,"pc","directed",10,2
"491",0.818181818181818,0.0769230769230769,0.75,5,"ges","undirected",10,2
"591",0.363636363636364,0.0898876404494382,0.333333333333333,10,"ges","directed",10,2
"691",0,0,NA,11,"arges","undirected",10,2
"791",0,0,NA,11,"arges","directed",10,2
"2101",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",11,2
"3101",0.818181818181818,0.0561797752808989,0.642857142857143,6,"pc","directed",11,2
"4101",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",11,2
"5101",0.818181818181818,0.0561797752808989,0.642857142857143,6,"ges","directed",11,2
"6101",0,0,NA,11,"arges","undirected",11,2
"7101",0,0,NA,11,"arges","directed",11,2
"2111",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",12,2
"3111",1,0.0224719101123595,0.846153846153846,2,"pc","directed",12,2
"4111",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",12,2
"5111",0.909090909090909,0.0898876404494382,0.555555555555556,8,"ges","directed",12,2
"6111",0,0,NA,11,"arges","undirected",12,2
"7111",0,0,NA,11,"arges","directed",12,2
"2121",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",13,2
"3121",0.909090909090909,0.0224719101123595,0.833333333333333,3,"pc","directed",13,2
"4121",0.818181818181818,0.0256410256410256,0.9,3,"ges","undirected",13,2
"5121",0.727272727272727,0.0449438202247191,0.666666666666667,6,"ges","directed",13,2
"6121",0,0,NA,11,"arges","undirected",13,2
"7121",0,0,NA,11,"arges","directed",13,2
"2131",1,0.102564102564103,0.733333333333333,4,"pc","undirected",14,2
"3131",0.727272727272727,0.0898876404494382,0.5,8,"pc","directed",14,2
"4131",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",14,2
"5131",0.727272727272727,0.0898876404494382,0.5,8,"ges","directed",14,2
"6131",0,0,NA,11,"arges","undirected",14,2
"7131",0,0,NA,11,"arges","directed",14,2
"2141",1,0,1,0,"pc","undirected",15,2
"3141",0.818181818181818,0.0224719101123595,0.818181818181818,2,"pc","directed",15,2
"4141",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",15,2
"5141",0.545454545454545,0.0561797752808989,0.545454545454545,6,"ges","directed",15,2
"6141",0,0,NA,11,"arges","undirected",15,2
"7141",0,0,NA,11,"arges","directed",15,2
"2151",0.909090909090909,0.102564102564103,0.714285714285714,5,"pc","undirected",16,2
"3151",0.727272727272727,0.0674157303370786,0.571428571428571,7,"pc","directed",16,2
"4151",0.909090909090909,0.102564102564103,0.714285714285714,5,"ges","undirected",16,2
"5151",0.727272727272727,0.101123595505618,0.470588235294118,9,"ges","directed",16,2
"6151",0,0,NA,11,"arges","undirected",16,2
"7151",0,0,NA,11,"arges","directed",16,2
"2161",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",17,2
"3161",0.909090909090909,0.0337078651685393,0.769230769230769,3,"pc","directed",17,2
"4161",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",17,2
"5161",0.636363636363636,0.0786516853932584,0.5,7,"ges","directed",17,2
"6161",0,0,NA,11,"arges","undirected",17,2
"7161",0,0,NA,11,"arges","directed",17,2
"2171",1,0,1,0,"pc","undirected",18,2
"3171",0.727272727272727,0.0449438202247191,0.666666666666667,4,"pc","directed",18,2
"4171",0.909090909090909,0,1,1,"ges","undirected",18,2
"5171",0.727272727272727,0.0674157303370786,0.571428571428571,7,"ges","directed",18,2
"6171",0,0,NA,11,"arges","undirected",18,2
"7171",0,0,NA,11,"arges","directed",18,2
"2181",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",19,2
"3181",0.818181818181818,0.0449438202247191,0.692307692307692,5,"pc","directed",19,2
"4181",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",19,2
"5181",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",19,2
"6181",0,0,NA,11,"arges","undirected",19,2
"7181",0,0,NA,11,"arges","directed",19,2
"2191",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",20,2
"3191",0.818181818181818,0.0449438202247191,0.692307692307692,5,"pc","directed",20,2
"4191",0.909090909090909,0.0769230769230769,0.769230769230769,4,"ges","undirected",20,2
"5191",0.545454545454545,0.112359550561798,0.375,11,"ges","directed",20,2
"6191",0,0,NA,11,"arges","undirected",20,2
"7191",0,0,NA,11,"arges","directed",20,2
"2201",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",21,2
"3201",0.636363636363636,0.0561797752808989,0.583333333333333,5,"pc","directed",21,2
"4201",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",21,2
"5201",0.363636363636364,0.123595505617978,0.266666666666667,11,"ges","directed",21,2
"6201",0,0,NA,11,"arges","undirected",21,2
"7201",0,0,NA,11,"arges","directed",21,2
"2211",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",22,2
"3211",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",22,2
"4211",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",22,2
"5211",1,0.0561797752808989,0.6875,5,"ges","directed",22,2
"6211",0,0,NA,11,"arges","undirected",22,2
"7211",0,0,NA,11,"arges","directed",22,2
"2221",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",23,2
"3221",0.818181818181818,0.0337078651685393,0.75,4,"pc","directed",23,2
"4221",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",23,2
"5221",0.909090909090909,0.0898876404494382,0.555555555555556,9,"ges","directed",23,2
"6221",0,0,NA,11,"arges","undirected",23,2
"7221",0,0,NA,11,"arges","directed",23,2
"2231",1,0,1,0,"pc","undirected",24,2
"3231",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",24,2
"4231",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",24,2
"5231",0.909090909090909,0.0674157303370786,0.625,7,"ges","directed",24,2
"6231",0,0,NA,11,"arges","undirected",24,2
"7231",0,0,NA,11,"arges","directed",24,2
"2241",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",25,2
"3241",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",25,2
"4241",0.909090909090909,0,1,1,"ges","undirected",25,2
"5241",0.818181818181818,0.0449438202247191,0.692307692307692,5,"ges","directed",25,2
"6241",0,0,NA,11,"arges","undirected",25,2
"7241",0,0,NA,11,"arges","directed",25,2
"2251",0.909090909090909,0.0769230769230769,0.769230769230769,4,"pc","undirected",26,2
"3251",0.818181818181818,0.0449438202247191,0.692307692307692,5,"pc","directed",26,2
"4251",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",26,2
"5251",0.727272727272727,0.101123595505618,0.470588235294118,9,"ges","directed",26,2
"6251",0,0,NA,11,"arges","undirected",26,2
"7251",0,0,NA,11,"arges","directed",26,2
"2261",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",27,2
"3261",0.909090909090909,0.0561797752808989,0.666666666666667,5,"pc","directed",27,2
"4261",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",27,2
"5261",0.636363636363636,0.0898876404494382,0.466666666666667,8,"ges","directed",27,2
"6261",0,0,NA,11,"arges","undirected",27,2
"7261",0,0,NA,11,"arges","directed",27,2
"2271",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",28,2
"3271",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",28,2
"4271",1,0,1,0,"ges","undirected",28,2
"5271",1,0.0449438202247191,0.733333333333333,4,"ges","directed",28,2
"6271",0,0,NA,11,"arges","undirected",28,2
"7271",0,0,NA,11,"arges","directed",28,2
"2281",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",29,2
"3281",0.727272727272727,0.0561797752808989,0.615384615384615,5,"pc","directed",29,2
"4281",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",29,2
"5281",0.545454545454545,0.0674157303370786,0.5,6,"ges","directed",29,2
